,d,beta_0,beta_1,beta_2,G,pce,path,P1,P2
82,5.093049080795454e-06,0.24681123011160433,0.6619925483416461,0.6619925483416461,0.038252794625747794,19501.08635614987,False,91,92
83,4.882535400292737e-06,0.2157104952534501,0.6775429157707232,0.6775429157707232,0.035463983570773336,20027.223062096822,False,92,93
84,4.882535400292737e-06,0.03156345066599542,0.7696164380644506,0.7696164380644506,0.0074105172481603865,15598.81601540549,False,93,94
85,5.942974852130062e-06,0.4164928706309769,0.4164928706309769,0.7378105855329428,0.044475391746571426,17256.95763389647,False,94,95
86,4.819000600183449e-06,0.47081102631747296,0.5499926502387118,0.5499926502387118,0.04783018492098376,21624.662648326008,False,95,96
87,4.819000600183449e-06,0.045675577823783176,0.7625603744855567,0.7625603744855567,0.01042891476387975,16508.325124851064,False,96,97
88,6.693846952798634e-06,0.040697375358809795,0.7650494757180434,0.7650494757180434,0.00938398317691832,11718.681371512512,False,97,98
89,9.467772453446599e-06,0.01847180111956334,0.01847180111956334,1.5338527245557698,0.0023084496805829556,7196.229978627558,False,98,99
90,6.375412200349123e-06,0.24984226588817826,0.6604770304533591,0.6604770304533591,0.038501042279628535,15599.617773229988,False,1,11
91,4.585124918820748e-06,0.17964582659097572,0.6955752501019604,0.6955752501019604,0.031635891146675636,20844.07222622094,False,2,12
92,1.2570609425871987e-05,0.050892180898483165,0.050892180898483165,1.4690119649979303,0.00635050126405102,5952.28243930687,False,3,13
93,7.728540278748074e-06,0.4331696165512415,0.4331696165512415,0.7044570936924136,0.04544438375440206,13332.520758567392,False,4,14
94,8.53449247417312e-06,0.07617981657422757,0.7473082551103345,0.7473082551103345,0.016382800868267745,9962.588450754594,False,5,15
95,6.562799493266297e-06,0.11549763222030673,0.7276493472872949,0.7276493472872949,0.023009463244091092,13719.23936909906,False,6,16
96,7.475812151524914e-06,0.08631232248119991,0.7422420021568483,0.7422420021568483,0.01819826444506353,11568.793435447413,False,7,17
97,4.094127700809692e-06,0.1265335737933626,0.722131376500767,0.722131376500767,0.024675851622684694,22270.43347374321,False,8,18
98,6.178990091316889e-06,0.37139809525694484,0.37139809525694484,0.8280001362810069,0.041299231179213865,16335.284897339747,False,11,21
99,4.585124918820748e-06,0.4382607163736601,0.4382607163736601,0.6942748940475764,0.04571520427553027,22502.127313106143,False,12,22
100,1.2570609425871987e-05,0.25300777177156664,0.658894277511665,0.658894277511665,0.03875601153553814,7922.541618744836,False,13,23
101,4.319036664398947e-06,0.3818481530759064,0.3818481530759064,0.8071000206430837,0.04210086004840863,23466.039610377367,False,14,24
102,4.650845370425145e-06,0.13436456597357643,0.13436456597357643,1.3020671948477438,0.01658860869270161,18318.20491860767,False,15,25
103,6.562799493266297e-06,0.07057178173439005,0.7501122725302533,0.7501122725302533,0.015344194609255759,12822.808053189003,False,16,26
104,7.475812151524914e-06,0.3061190841595436,0.6323386213176765,0.6323386213176765,0.0424186091691304,13579.011121119946,False,17,27
105,4.087157323037846e-06,0.41757290976622374,0.41757290976622374,0.7356505072624491,0.04454180176463059,25100.80829604842,False,18,28
106,4.757174461722668e-06,0.09876223880277,0.09876223880277,1.3732718491893565,0.012263977016549047,17106.92814245905,False,21,31
107,7.193913663803646e-06,0.18852900670144246,0.691133660046727,0.691133660046727,0.03264177097642972,13367.692201882119,False,22,32
108,9.092622000835181e-06,0.19009965213566704,0.6903483373296148,0.6903483373296148,0.03281522190102198,10587.42021160862,False,23,33
